Timestamp,Task ID,Machine ID,Operator ID,Task Type,Site Type,Weather,Terrain,Shift,Ambient Temperature (C),Operator Skill,Machine Age (yrs),Engine Hours,Fuel Used (L),Load Cycles,Idling Time (min),Proximity Distance (m),Seatbelt Status,Safety Alert Triggered,Estimated Time (min),Actual Time (min),anomaly_flag
2025-05-16 05:16:00,T0011,EXC101,OP1003,Grading,Underground Hard-Rock Mining,Cloudy,Incline,Day,21.3,Intermediate,8,1598.3,4.1,6,15,41.8,Fastened,No,35,50.5,Normal
2025-05-12 03:48:00,T0012,EXC103,OP1002,Grading,Underground Hard-Rock Mining,Cloudy,Rocky,Day,19.2,Expert,3,1522.6,2.9,7,3,7.3,Fastened,No,35,46.3,Normal
2025-05-06 21:55:00,T0013,EXC100,OP1000,Trenching,Underground Hard-Rock Mining,Cloudy,Rocky,Day,18.9,Intermediate,4,1598.2,2.2,4,15,5.1,Fastened,No,45,58.1,Normal
2025-05-30 20:42:00,T0014,EXC102,OP1007,Grading,Construction,Windy,Flat,Day,36.0,Expert,8,1508.4,4.5,8,30,47.0,Fastened,No,35,53.6,Normal
2025-05-02 18:40:00,T0015,EXC101,OP1004,Trenching,Construction,Rainy,Incline,Day,33.7,Beginner,8,1523.7,2.4,5,3,37.3,Fastened,No,45,84.5,Normal
2025-05-04 09:55:00,T0016,EXC102,OP1002,Demolition,Construction,Cloudy,Incline,Day,35.5,Expert,8,1535.0,1.0,1,17,14.4,Fastened,No,90,115.2,Normal
2025-05-27 05:30:00,T0017,EXC100,OP1007,Earth Excavation,Construction,Windy,Flat,Day,31.6,Expert,4,1595.3,5.3,13,11,48.2,Fastened,No,60,63.3,Normal
2025-05-26 01:43:00,T0018,EXC100,OP1006,Material Loading,Construction,Windy,Flat,Day,33.9,Beginner,4,1584.4,1.9,3,16,7.4,Fastened,No,30,44.5,Normal
2025-05-12 17:38:00,T0019,EXC101,OP1001,Trenching,Mining,Sunny,Flat,Night,23.1,Expert,8,1580.9,1.2,3,5,4.5,Fastened,No,45,43.0,Normal
2025-05-16 19:06:00,T0020,EXC103,OP1006,Trenching,Underground Hard-Rock Mining,Rainy,Incline,Day,21.4,Beginner,3,1546.6,6.8,14,6,41.2,Unfastened,Yes,45,85.6,Normal
2025-05-21 21:49:00,T0021,EXC103,OP1002,Demolition,Mining,Sunny,Flat,Day,28.0,Expert,3,1541.1,2.1,3,20,48.8,Fastened,No,90,81.3,Normal
2025-05-15 22:16:00,T0022,EXC102,OP1007,Grading,Underground Hard-Rock Mining,Rainy,Rocky,Day,22.9,Expert,8,1596.3,3.5,7,11,22.4,Fastened,No,35,50.9,Normal
2025-05-06 16:05:00,T0023,EXC100,OP1005,Demolition,Mining,Sunny,Flat,Night,40.6,Beginner,4,1542.0,5.3,12,16,6.4,Unfastened,Yes,90,119.1,Normal
2025-05-10 11:36:00,T0024,EXC105,OP1005,Grading,Construction,Sunny,Rocky,Day,28.7,Beginner,5,1547.3,0.9,1,12,44.4,Fastened,No,35,57.0,Normal
2025-05-29 03:18:00,T0025,EXC101,OP1001,Material Loading,Mining,Rainy,Flat,Day,32.8,Expert,8,1594.4,5.2,12,17,29.0,Fastened,No,30,46.4,Normal
2025-05-04 00:40:00,T0026,EXC102,OP1004,Material Loading,Underground Hard-Rock Mining,Sunny,Flat,Night,15.8,Beginner,8,1590.5,4.5,12,6,31.1,Unfastened,Yes,30,37.2,Normal
2025-05-20 05:50:00,T0027,EXC101,OP1000,Demolition,Construction,Rainy,Rocky,Day,29.9,Intermediate,8,1569.3,1.3,2,19,36.9,Fastened,No,90,144.0,Normal
2025-05-28 03:56:00,T0028,EXC102,OP1000,Earth Excavation,Construction,Cloudy,Flat,Night,34.4,Intermediate,8,1534.1,6.0,14,16,12.3,Fastened,No,60,71.8,Normal
2025-05-11 05:57:00,T0029,EXC100,OP1003,Demolition,Underground Hard-Rock Mining,Cloudy,Flat,Day,24.0,Intermediate,4,1567.7,2.2,4,17,22.7,Fastened,No,90,104.3,Normal
2025-05-08 23:30:00,T0030,EXC103,OP1004,Demolition,Mining,Cloudy,Incline,Day,23.9,Beginner,3,1549.4,8.3,7,110,34.6,Fastened,Yes,90,180.6,Unusual
2025-05-13 06:57:00,T0031,EXC100,OP1003,Demolition,Underground Hard-Rock Mining,Rainy,Rocky,Night,19.6,Intermediate,4,1508.5,2.1,3,17,44.1,Fastened,No,90,141.9,Normal
2025-05-02 04:04:00,T0032,EXC103,OP1003,Grading,Underground Hard-Rock Mining,Cloudy,Flat,Day,21.1,Intermediate,3,1570.5,5.5,10,47,23.7,Unfastened,Yes,35,49.8,Normal
2025-05-22 07:55:00,T0033,EXC104,OP1003,Earth Excavation,Mining,Cloudy,Incline,Day,29.5,Intermediate,6,1528.6,4.7,8,15,40.2,Fastened,No,60,88.8,Normal
2025-05-27 09:58:00,T0034,EXC105,OP1004,Demolition,Mining,Cloudy,Incline,Day,31.9,Beginner,5,1507.5,4.3,9,4,45.8,Fastened,No,90,156.1,Normal
2025-05-24 22:41:00,T0035,EXC105,OP1007,Grading,Mining,Windy,Rocky,Day,19.4,Expert,5,1558.4,5.4,12,8,22.9,Fastened,No,35,51.2,Normal
2025-05-23 02:31:00,T0036,EXC104,OP1004,Material Loading,Construction,Sunny,Rocky,Day,22.5,Beginner,6,1558.1,4.7,9,10,7.9,Fastened,No,30,46.8,Normal
2025-05-17 19:13:00,T0037,EXC100,OP1006,Material Loading,Mining,Cloudy,Flat,Day,31.7,Beginner,4,1575.0,2.4,3,16,47.3,Fastened,No,30,43.9,Normal
2025-05-28 04:05:00,T0038,EXC102,OP1000,Demolition,Construction,Sunny,Flat,Day,33.1,Intermediate,8,1561.8,4.7,12,6,41.7,Fastened,No,90,102.2,Normal
2025-05-23 12:09:00,T0039,EXC100,OP1003,Grading,Construction,Sunny,Rocky,Night,27.2,Intermediate,4,1542.1,3.7,5,19,11.0,Fastened,No,35,53.9,Normal
2025-05-06 01:41:00,T0040,EXC102,OP1006,Material Loading,Construction,Cloudy,Flat,Day,21.2,Beginner,8,1578.4,5.3,12,7,23.2,Fastened,No,30,45.5,Normal
2025-05-15 00:56:00,T0041,EXC100,OP1001,Grading,Mining,Windy,Rocky,Day,24.3,Expert,4,1558.0,4.6,11,1,6.8,Fastened,No,35,37.3,Normal
2025-05-30 21:19:00,T0042,EXC102,OP1000,Material Loading,Mining,Cloudy,Rocky,Day,32.4,Intermediate,8,1522.4,2.2,5,3,6.5,Fastened,No,30,39.7,Normal
2025-05-28 10:24:00,T0043,EXC101,OP1003,Trenching,Construction,Sunny,Rocky,Day,26.5,Intermediate,8,1587.4,5.8,13,0,4.7,Fastened,No,45,59.4,Normal
2025-05-01 11:02:00,T0044,EXC105,OP1006,Trenching,Underground Hard-Rock Mining,Windy,Rocky,Day,22.2,Beginner,5,1574.7,6.3,14,3,37.6,Fastened,No,45,72.5,Normal
2025-05-02 07:31:00,T0045,EXC101,OP1004,Trenching,Underground Hard-Rock Mining,Rainy,Incline,Day,18.2,Beginner,8,1502.0,5.5,9,36,27.0,Unfastened,Yes,45,95.5,Normal
2025-05-05 12:48:00,T0046,EXC101,OP1003,Material Loading,Mining,Sunny,Rocky,Day,24.0,Intermediate,8,1553.7,2.2,2,16,17.2,Fastened,No,30,51.9,Normal
2025-05-14 12:43:00,T0047,EXC101,OP1001,Material Loading,Underground Hard-Rock Mining,Windy,Flat,Day,18.9,Expert,8,1548.8,4.9,14,4,9.1,Fastened,No,30,23.3,Normal
2025-05-08 17:47:00,T0048,EXC105,OP1007,Trenching,Underground Hard-Rock Mining,Windy,Incline,Night,25.4,Expert,5,1525.8,5.1,8,25,24.1,Fastened,No,45,67.0,Normal
2025-05-17 00:20:00,T0049,EXC104,OP1003,Trenching,Underground Hard-Rock Mining,Rainy,Flat,Night,31.2,Intermediate,6,1576.8,3.0,6,17,24.3,Fastened,No,45,62.6,Normal
2025-05-01 06:09:00,T0050,EXC101,OP1004,Grading,Mining,Rainy,Rocky,Day,30.2,Beginner,8,1513.9,4.9,9,28,17.8,Fastened,No,35,83.3,Normal
2025-05-29 13:12:00,T0051,EXC105,OP1004,Grading,Construction,Windy,Rocky,Night,33.3,Beginner,5,1572.2,6.6,12,36,39.9,Unfastened,Yes,35,67.0,Normal
2025-05-15 23:24:00,T0052,EXC104,OP1004,Material Loading,Construction,Cloudy,Rocky,Night,27.8,Beginner,6,1531.6,4.7,10,9,23.4,Fastened,No,30,55.9,Normal
2025-05-05 19:25:00,T0053,EXC100,OP1000,Earth Excavation,Mining,Sunny,Incline,Day,34.5,Intermediate,4,1562.4,2.0,3,11,36.7,Fastened,No,60,78.4,Normal
2025-05-05 06:28:00,T0054,EXC103,OP1000,Material Loading,Mining,Windy,Rocky,Night,32.6,Intermediate,3,1570.7,5.8,11,27,43.9,Fastened,No,30,47.2,Normal
2025-05-17 17:10:00,T0055,EXC103,OP1006,Demolition,Underground Hard-Rock Mining,Windy,Flat,Day,9.1,Beginner,3,1577.2,4.6,11,20,27.4,Fastened,No,90,130.4,Normal
2025-05-09 18:58:00,T0056,EXC101,OP1005,Trenching,Underground Hard-Rock Mining,Rainy,Rocky,Day,15.8,Beginner,8,1550.6,4.4,9,5,46.0,Unfastened,Yes,45,91.6,Normal
2025-05-28 03:27:00,T0057,EXC101,OP1006,Earth Excavation,Underground Hard-Rock Mining,Windy,Rocky,Day,20.4,Beginner,8,1516.6,1.9,4,2,43.6,Fastened,No,60,113.2,Normal
2025-05-03 03:08:00,T0058,EXC100,OP1006,Demolition,Construction,Sunny,Flat,Day,32.6,Beginner,4,1533.3,2.1,4,15,37.0,Fastened,No,90,124.0,Normal
2025-05-26 12:08:00,T0059,EXC102,OP1007,Material Loading,Underground Hard-Rock Mining,Windy,Incline,Day,16.0,Expert,8,1503.4,1.2,1,9,31.8,Fastened,No,30,40.1,Normal
2025-05-22 21:55:00,T0060,EXC104,OP1006,Earth Excavation,Mining,Cloudy,Flat,Day,24.5,Beginner,6,1542.7,4.6,8,45,23.9,Unfastened,Yes,60,94.8,Normal
2025-05-20 17:51:00,T0061,EXC101,OP1002,Earth Excavation,Underground Hard-Rock Mining,Rainy,Incline,Day,14.3,Expert,8,1549.7,2.6,3,3,43.2,Fastened,No,60,84.3,Normal
2025-05-25 00:49:00,T0062,EXC105,OP1002,Trenching,Mining,Windy,Incline,Night,32.6,Expert,5,1584.0,4.5,7,21,5.7,Unfastened,Yes,45,57.9,Normal
2025-05-14 22:14:00,T0063,EXC102,OP1004,Material Loading,Underground Hard-Rock Mining,Sunny,Rocky,Night,22.1,Beginner,8,1580.7,4.2,4,57,20.6,Unfastened,Yes,30,61.3,Unusual
2025-05-04 07:45:00,T0064,EXC100,OP1006,Demolition,Mining,Cloudy,Incline,Day,28.7,Beginner,4,1542.1,2.5,2,48,18.5,Fastened,Yes,90,166.4,Normal
2025-05-09 03:42:00,T0065,EXC103,OP1003,Demolition,Construction,Sunny,Rocky,Day,28.2,Intermediate,3,1597.5,5.4,12,3,24.6,Fastened,No,90,113.3,Normal
2025-05-21 01:29:00,T0066,EXC100,OP1002,Earth Excavation,Construction,Windy,Flat,Day,30.8,Expert,4,1521.8,3.7,6,36,14.0,Fastened,No,60,74.0,Normal
2025-05-12 16:18:00,T0067,EXC101,OP1005,Demolition,Mining,Rainy,Rocky,Day,29.7,Beginner,8,1572.0,1.6,5,0,45.1,Fastened,No,90,168.7,Normal
2025-05-22 18:27:00,T0068,EXC100,OP1004,Demolition,Construction,Cloudy,Flat,Night,34.9,Beginner,4,1540.4,5.5,14,14,12.6,Fastened,No,90,127.8,Normal
2025-05-17 23:03:00,T0069,EXC100,OP1003,Material Loading,Underground Hard-Rock Mining,Cloudy,Rocky,Day,24.5,Intermediate,4,1573.3,0.8,1,6,8.5,Fastened,No,30,42.3,Normal
2025-05-17 22:58:00,T0070,EXC102,OP1004,Trenching,Construction,Sunny,Rocky,Day,31.2,Beginner,8,1507.5,1.3,1,10,4.3,Fastened,No,45,79.3,Normal
2025-05-20 19:05:00,T0071,EXC103,OP1004,Grading,Construction,Cloudy,Rocky,Day,26.4,Beginner,3,1591.7,6.7,13,31,26.3,Fastened,No,35,66.5,Normal
2025-05-09 03:04:00,T0072,EXC104,OP1006,Earth Excavation,Mining,Rainy,Incline,Day,36.4,Beginner,6,1505.2,5.0,10,0,28.6,Fastened,No,60,115.3,Normal
2025-05-21 08:01:00,T0073,EXC105,OP1006,Demolition,Mining,Cloudy,Incline,Night,35.6,Beginner,5,1584.5,1.6,2,14,32.7,Fastened,No,90,156.6,Normal
2025-05-10 13:29:00,T0074,EXC104,OP1002,Material Loading,Construction,Windy,Incline,Day,19.9,Expert,6,1557.2,4.4,8,15,44.4,Fastened,No,30,46.5,Normal
2025-05-10 18:57:00,T0075,EXC105,OP1003,Trenching,Underground Hard-Rock Mining,Cloudy,Rocky,Night,25.2,Intermediate,5,1507.0,6.3,14,8,20.4,Fastened,No,45,71.5,Normal
2025-05-15 01:35:00,T0076,EXC100,OP1003,Trenching,Mining,Rainy,Incline,Day,28.2,Intermediate,4,1573.8,6.2,14,0,35.9,Fastened,No,45,69.6,Normal
2025-05-29 10:40:00,T0077,EXC100,OP1007,Demolition,Underground Hard-Rock Mining,Rainy,Flat,Day,17.2,Expert,4,1595.6,3.0,5,30,21.2,Fastened,No,90,119.3,Normal
2025-05-18 02:22:00,T0078,EXC103,OP1003,Material Loading,Mining,Windy,Incline,Day,26.7,Intermediate,3,1583.1,6.7,14,5,39.1,Fastened,No,30,41.9,Normal
2025-05-12 06:36:00,T0079,EXC105,OP1004,Earth Excavation,Underground Hard-Rock Mining,Sunny,Rocky,Day,22.5,Beginner,5,1549.1,0.5,1,3,11.6,Fastened,No,60,92.3,Normal
2025-05-27 06:03:00,T0080,EXC104,OP1005,Trenching,Mining,Cloudy,Incline,Day,22.4,Beginner,6,1547.7,4.2,3,62,27.8,Fastened,Yes,45,95.1,Unusual
2025-05-12 01:45:00,T0081,EXC103,OP1007,Material Loading,Construction,Sunny,Rocky,Day,33.5,Expert,3,1507.6,0.5,1,1,26.0,Fastened,No,30,32.9,Unusual
2025-05-09 02:23:00,T0082,EXC102,OP1001,Demolition,Mining,Sunny,Rocky,Day,34.3,Expert,8,1586.8,6.9,12,38,35.0,Fastened,No,90,114.9,Normal
2025-05-15 14:30:00,T0083,EXC105,OP1002,Grading,Mining,Cloudy,Incline,Night,35.2,Expert,5,1500.5,5.5,11,5,0.6,Fastened,Yes,35,49.4,Normal
2025-05-19 09:23:00,T0084,EXC101,OP1006,Demolition,Underground Hard-Rock Mining,Rainy,Flat,Day,23.7,Beginner,8,1511.6,2.2,2,20,38.2,Unfastened,Yes,90,152.7,Normal
2025-05-21 13:37:00,T0085,EXC101,OP1000,Grading,Underground Hard-Rock Mining,Windy,Rocky,Night,19.2,Intermediate,8,1577.1,2.3,4,7,3.8,Fastened,No,35,45.1,Normal
2025-05-15 19:13:00,T0086,EXC102,OP1007,Trenching,Construction,Rainy,Incline,Night,34.8,Expert,8,1575.0,2.2,3,18,18.9,Fastened,No,45,67.7,Normal
2025-05-20 09:30:00,T0087,EXC101,OP1002,Trenching,Construction,Rainy,Rocky,Night,22.8,Expert,8,1516.4,3.9,7,34,42.1,Fastened,No,45,67.7,Normal
2025-05-09 09:22:00,T0088,EXC102,OP1002,Earth Excavation,Mining,Rainy,Flat,Night,33.7,Expert,8,1585.7,2.3,4,10,11.0,Fastened,No,60,72.2,Normal
2025-05-19 14:31:00,T0089,EXC100,OP1000,Grading,Underground Hard-Rock Mining,Rainy,Incline,Night,23.3,Intermediate,4,1577.7,6.7,11,37,31.5,Fastened,No,35,66.9,Normal
2025-05-01 14:46:00,T0090,EXC105,OP1000,Earth Excavation,Mining,Rainy,Rocky,Day,33.5,Intermediate,5,1516.1,3.6,6,17,23.0,Fastened,No,60,93.8,Normal
2025-05-26 21:35:00,T0091,EXC101,OP1004,Trenching,Underground Hard-Rock Mining,Rainy,Incline,Night,28.1,Beginner,8,1595.3,4.7,9,0,5.7,Fastened,No,45,87.5,Normal
2025-05-21 22:21:00,T0092,EXC103,OP1003,Earth Excavation,Construction,Rainy,Flat,Day,24.2,Intermediate,3,1508.8,4.5,13,1,48.9,Fastened,No,60,82.5,Normal
2025-05-24 01:37:00,T0093,EXC101,OP1005,Trenching,Construction,Cloudy,Rocky,Day,31.4,Beginner,8,1570.6,3.2,6,18,30.8,Fastened,No,45,80.2,Normal
2025-05-26 17:19:00,T0094,EXC103,OP1001,Grading,Underground Hard-Rock Mining,Rainy,Incline,Day,21.1,Expert,3,1566.1,2.7,4,18,8.6,Unfastened,Yes,35,58.1,Normal
2025-05-26 20:37:00,T0095,EXC101,OP1002,Grading,Mining,Cloudy,Flat,Night,24.8,Expert,8,1579.0,2.5,7,0,1.5,Fastened,Yes,35,30.5,Normal
2025-05-03 06:40:00,T0096,EXC102,OP1002,Grading,Underground Hard-Rock Mining,Rainy,Incline,Day,28.0,Expert,8,1541.8,2.5,1,36,36.9,Fastened,No,35,58.7,Normal
2025-05-26 09:41:00,T0097,EXC103,OP1003,Trenching,Underground Hard-Rock Mining,Sunny,Flat,Day,21.5,Intermediate,3,1587.3,2.6,2,31,49.6,Fastened,No,45,54.4,Normal
2025-05-24 08:57:00,T0098,EXC104,OP1007,Earth Excavation,Construction,Cloudy,Rocky,Day,23.2,Expert,6,1523.8,6.4,14,14,5.3,Fastened,No,60,72.7,Normal
2025-05-21 10:12:00,T0099,EXC105,OP1006,Earth Excavation,Construction,Windy,Incline,Day,31.9,Beginner,5,1525.8,2.5,5,0,30.1,Fastened,No,60,98.3,Normal
2025-05-28 11:18:00,T0100,EXC101,OP1002,Material Loading,Construction,Rainy,Rocky,Day,27.2,Expert,8,1566.9,4.7,9,11,8.8,Fastened,No,30,38.0,Normal
2025-05-05 11:39:00,T0101,EXC100,OP1003,Material Loading,Underground Hard-Rock Mining,Sunny,Flat,Day,25.5,Intermediate,4,1544.6,2.7,6,4,13.9,Fastened,No,30,34.2,Normal
2025-05-19 00:59:00,T0102,EXC104,OP1001,Earth Excavation,Underground Hard-Rock Mining,Cloudy,Rocky,Day,18.6,Expert,6,1508.9,1.4,1,14,26.0,Fastened,No,60,74.7,Normal
2025-05-03 12:09:00,T0103,EXC103,OP1006,Grading,Construction,Cloudy,Flat,Day,30.3,Beginner,3,1516.2,1.9,5,1,22.5,Fastened,No,35,46.9,Normal
2025-05-27 15:26:00,T0104,EXC102,OP1001,Trenching,Construction,Rainy,Rocky,Day,31.1,Expert,8,1586.9,4.8,8,29,30.2,Fastened,No,45,68.0,Normal
2025-05-10 16:38:00,T0105,EXC105,OP1007,Demolition,Mining,Windy,Flat,Day,35.0,Expert,5,1578.2,4.9,13,6,32.7,Fastened,No,90,99.0,Normal
2025-05-22 20:36:00,T0106,EXC102,OP1000,Demolition,Mining,Cloudy,Rocky,Day,29.3,Intermediate,8,1500.6,1.5,1,9,22.7,Fastened,No,90,122.5,Unusual
2025-05-07 10:47:00,T0107,EXC102,OP1000,Grading,Construction,Rainy,Incline,Day,35.4,Intermediate,8,1546.3,2.7,3,15,42.4,Fastened,No,35,55.1,Normal
2025-05-06 23:14:00,T0108,EXC105,OP1007,Trenching,Underground Hard-Rock Mining,Windy,Incline,Day,22.9,Expert,5,1519.6,4.9,7,45,24.2,Fastened,No,45,75.8,Normal
2025-05-27 09:30:00,T0109,EXC105,OP1001,Demolition,Mining,Windy,Rocky,Day,30.9,Expert,5,1531.1,3.2,4,25,48.8,Fastened,No,90,115.5,Normal
2025-05-24 21:34:00,T0110,EXC103,OP1006,Trenching,Mining,Cloudy,Incline,Night,36.6,Beginner,3,1510.7,4.9,10,4,40.9,Unfastened,Yes,45,77.4,Normal
2025-05-16 07:15:00,T0111,EXC104,OP1007,Trenching,Underground Hard-Rock Mining,Cloudy,Flat,Day,22.2,Expert,6,1522.8,4.1,9,20,18.4,Fastened,No,45,51.8,Normal
2025-05-26 05:53:00,T0112,EXC104,OP1002,Grading,Underground Hard-Rock Mining,Rainy,Incline,Day,23.3,Expert,6,1509.6,1.8,4,3,43.5,Fastened,No,35,48.0,Normal
2025-05-21 15:04:00,T0113,EXC104,OP1006,Earth Excavation,Mining,Rainy,Incline,Day,32.8,Beginner,6,1525.7,6.7,13,18,49.4,Fastened,No,60,121.5,Normal
2025-05-21 00:42:00,T0114,EXC105,OP1001,Demolition,Mining,Cloudy,Flat,Day,26.1,Expert,5,1534.1,5.3,14,2,4.4,Fastened,No,90,96.4,Normal
2025-05-06 16:43:00,T0115,EXC100,OP1002,Earth Excavation,Construction,Cloudy,Flat,Day,36.2,Expert,4,1567.0,4.5,12,5,44.1,Fastened,No,60,62.3,Normal
2025-05-25 16:36:00,T0116,EXC102,OP1001,Trenching,Construction,Cloudy,Rocky,Day,40.6,Expert,8,1573.1,6.2,14,8,31.9,Fastened,No,45,55.9,Normal
2025-05-03 14:14:00,T0117,EXC101,OP1000,Earth Excavation,Mining,Cloudy,Incline,Night,27.3,Intermediate,8,1515.2,3.2,5,26,12.6,Fastened,No,60,90.9,Normal
2025-05-19 13:02:00,T0118,EXC100,OP1007,Demolition,Construction,Windy,Rocky,Day,31.4,Expert,4,1511.8,3.1,7,6,27.9,Fastened,No,90,107.4,Normal
2025-05-27 16:27:00,T0119,EXC101,OP1005,Grading,Underground Hard-Rock Mining,Rainy,Rocky,Night,23.3,Beginner,8,1585.1,5.0,10,13,27.2,Fastened,No,35,75.0,Normal
2025-05-06 13:09:00,T0120,EXC102,OP1005,Grading,Mining,Rainy,Incline,Day,35.4,Beginner,8,1517.4,1.4,2,5,29.0,Fastened,No,35,71.7,Normal
2025-05-22 01:44:00,T0121,EXC105,OP1003,Earth Excavation,Construction,Rainy,Rocky,Day,17.4,Intermediate,5,1514.6,2.3,5,2,25.6,Fastened,No,60,91.5,Normal
2025-05-17 14:43:00,T0122,EXC103,OP1007,Demolition,Construction,Cloudy,Rocky,Day,29.7,Expert,3,1585.1,5.1,13,0,28.4,Fastened,No,90,105.8,Normal
2025-05-31 01:13:00,T0123,EXC100,OP1001,Trenching,Underground Hard-Rock Mining,Rainy,Rocky,Day,19.2,Expert,4,1512.1,6.1,14,6,34.7,Fastened,No,45,66.0,Normal
2025-05-17 10:32:00,T0124,EXC103,OP1004,Grading,Construction,Sunny,Incline,Night,36.7,Beginner,3,1579.2,7.7,14,21,9.3,Fastened,No,35,51.7,Normal
2025-05-28 06:28:00,T0125,EXC104,OP1005,Trenching,Underground Hard-Rock Mining,Rainy,Flat,Day,26.3,Beginner,6,1513.7,3.2,7,19,41.8,Fastened,No,45,72.5,Normal
2025-05-01 17:11:00,T0126,EXC100,OP1003,Material Loading,Underground Hard-Rock Mining,Sunny,Incline,Day,24.6,Intermediate,4,1526.6,2.9,5,13,24.1,Fastened,No,30,39.7,Normal
2025-05-11 00:16:00,T0127,EXC103,OP1004,Demolition,Construction,Rainy,Flat,Night,32.3,Beginner,3,1580.9,4.9,13,6,13.0,Fastened,No,90,143.2,Normal
2025-05-20 07:05:00,T0128,EXC102,OP1007,Earth Excavation,Mining,Cloudy,Incline,Day,32.5,Expert,8,1515.0,6.4,12,14,36.0,Fastened,No,60,78.0,Normal
2025-05-06 15:48:00,T0129,EXC102,OP1002,Earth Excavation,Mining,Sunny,Rocky,Day,24.6,Expert,8,1555.0,3.3,6,28,1.5,Fastened,Yes,60,79.5,Normal
2025-05-25 15:44:00,T0130,EXC101,OP1001,Material Loading,Construction,Sunny,Rocky,Day,26.2,Expert,8,1596.0,3.6,7,0,40.7,Fastened,No,30,40.7,Normal
2025-05-22 00:41:00,T0131,EXC101,OP1002,Earth Excavation,Construction,Windy,Incline,Day,34.3,Expert,8,1538.9,2.8,2,57,6.5,Fastened,Yes,60,94.9,Unusual
2025-05-09 18:18:00,T0132,EXC105,OP1001,Earth Excavation,Mining,Windy,Incline,Day,29.2,Expert,5,1575.5,5.7,5,76,3.2,Fastened,Yes,60,104.0,Unusual
2025-05-21 08:07:00,T0133,EXC105,OP1005,Material Loading,Construction,Sunny,Flat,Night,31.6,Beginner,5,1509.2,0.8,2,4,42.1,Fastened,No,30,41.8,Normal
2025-05-02 10:44:00,T0134,EXC102,OP1000,Material Loading,Mining,Cloudy,Rocky,Night,38.5,Intermediate,8,1563.6,2.4,5,3,36.5,Fastened,No,30,41.9,Normal
2025-05-12 22:32:00,T0135,EXC102,OP1003,Trenching,Underground Hard-Rock Mining,Rainy,Flat,Day,25.6,Intermediate,8,1518.8,4.2,9,9,26.4,Fastened,No,45,64.9,Normal
2025-05-26 03:31:00,T0136,EXC105,OP1000,Earth Excavation,Mining,Rainy,Flat,Day,31.2,Intermediate,5,1575.6,2.8,7,12,32.3,Fastened,No,60,83.0,Normal
2025-05-13 23:13:00,T0137,EXC105,OP1007,Material Loading,Mining,Rainy,Rocky,Day,22.4,Expert,5,1579.4,2.6,4,10,25.8,Fastened,No,30,40.0,Normal
2025-05-17 09:05:00,T0138,EXC103,OP1006,Grading,Construction,Windy,Rocky,Day,31.5,Beginner,3,1560.2,6.2,12,34,17.0,Unfastened,Yes,35,67.2,Normal
2025-05-01 15:01:00,T0139,EXC105,OP1001,Demolition,Underground Hard-Rock Mining,Cloudy,Flat,Day,18.4,Expert,5,1508.9,1.0,4,1,38.4,Fastened,No,90,86.0,Normal
2025-05-09 21:28:00,T0140,EXC105,OP1000,Grading,Underground Hard-Rock Mining,Windy,Incline,Day,27.3,Intermediate,5,1599.1,6.7,12,9,18.4,Fastened,No,35,59.8,Normal
